Learning Rate,No. of hidden layers,Size of each hidden layer,Î»(regulariser),RMSE(train),RMSE(dev)
0.001,1,64,0,10.644104098330285,10.484439544603193
0.001,1,64,5,1665.3812389012292,1665.4370307971785
0.001,1,128,0,10.918054369788221,10.717131193863578
0.001,1,128,5,1665.3812389012292,1665.4370307971785
0.001,2,64,0,nan,nan
0.001,2,64,5,nan,nan
0.001,2,128,0,nan,nan
0.001,2,128,5,nan,nan
0.01,1,64,0,10.462524421880381,10.29607547186365
0.01,1,64,5,1665.3876021151307,1665.443394016083
0.01,1,128,0,10.918717286500875,10.718214399348339
0.01,1,128,5,1665.3876021151307,1665.443394016083
0.01,2,64,0,nan,nan
0.01,2,64,5,nan,nan
0.01,2,128,0,nan,nan
0.01,2,128,5,nan,nan